Methodology: https://home.treasury.gov/system/files/136/Allocations-Methodology-States-Territories-Freely-Associated-States.pdf,CORONAVIRUS CAPITAL PROJECTS FUND,,,
SOURCE: https://home.treasury.gov/system/files/136/Allocations-States.pdf,U.S. DEPARTMENT OF THE TREASURY,,,
,"Allocations for States, District of Columbia, and Puerto Rico",,,
,August 2021,,,
State,ACTUAL Allocation,Ready’s Projected Allocation,,
Alabama,"$ 191,887,857.00",,,
Alaska,"$ 111,803,893.00",,,
Arizona,"$ 190,220,002.00",,,
Arkansas,"$ 158,086,576.00",,,
California,"$ 540,249,909.00",,,
Colorado,"$ 170,751,674.00",,,
Connecticut,"$ 141,932,612.00",,,
Delaware,"$ 112,839,386.00",,,
District of Columbia,"$ 106,967,456.00",,,
Florida,"$ 366,036,869.00",,,
Georgia,"$ 259,875,389.00",,,
Hawaii,"$ 115,475,318.00",,,
Idaho,"$ 128,518,323.00",,,
Illinois,"$ 253,682,328.00",,,
Indiana,"$ 203,132,429.00",,,
Iowa,"$ 152,176,435.00",,,
Kansas,"$ 143,356,521.00",,,
Kentucky,"$ 182,769,205.00",,,
Louisiana,"$ 176,741,864.00",,,
Maine,"$ 128,245,250.00",,,
Maryland,"$ 171,223,815.00",,,
Massachusetts,"$ 175,362,478.00",,,
Michigan,"$ 250,630,295.00",,,
Minnesota,"$ 180,702,620.00",,,
Mississippi,"$ 162,609,351.00",,,
Missouri,"$ 196,737,544.00",,,
Montana,"$ 119,934,533.00",,,
Nebraska,"$ 128,740,178.00",,,
Nevada,"$ 135,603,020.00",,,
New Hampshire,"$ 122,066,151.00",,,
New Jersey,"$ 194,715,700.00",,,
New Mexico,"$ 133,066,812.00",,,
New York,"$ 345,548,881.00",,,
North Carolina,"$ 273,583,159.00",,,
,,,,
North Dakota,"$ 113,276,228.00",,,
Ohio,"$ 268,578,200.00",,,
Oklahoma,"$ 167,683,747.00",,,
Oregon,"$ 156,795,418.00",,,
Pennsylvania,"$ 278,793,641.00",,,
Puerto Rico,"$ 158,310,056.00",,,
Rhode Island,"$ 112,291,189.00",,,
South Carolina,"$ 185,765,655.00",,,
South Dakota,"$ 115,898,703.00",,,
Tennessee,"$ 215,218,861.00",,,
Texas,"$ 500,475,163.00",,,
Utah,"$ 137,895,435.00",,,
Vermont,"$ 113,056,440.00",,,
Virginia,"$ 219,812,354.00",,,
Washington,"$ 195,749,414.00",,,
West Virginia,"$ 136,303,698.00",,,
Wisconsin,"$ 189,354,516.00",,,
Wyoming,"$ 109,467,449.00",,,
